-180,65, phh2o ,1294,6.76166, ASIA
-110,66.5, phh2o ,1220,6.16905, NAMERICA
-110,67, phh2o ,1195,6.16905, NAMERICA
-110,67.5, phh2o ,1171,5.47, NAMERICA
-110,68.5, phh2o ,1120,5.47, NAMERICA
-110,69, phh2o ,1095,5.47, NAMERICA
-110,69.5, phh2o ,1070,5.47, NAMERICA
-109.5,65, phh2o ,1294,6.16905, NAMERICA
-109.5,65.5, phh2o ,1270,6.16905, NAMERICA
-109.5,66, phh2o ,1245,6.16905, NAMERICA
-109.5,66.5, phh2o ,1220,6.16905, NAMERICA
-109.5,67, phh2o ,1195,6.16905, NAMERICA
-109.5,67.5, phh2o ,1171,5.47, NAMERICA
-109.5,68.5, phh2o ,1120,5.47, NAMERICA
-109.5,69, phh2o ,1095,5.47, NAMERICA
-109.5,69.5, phh2o ,1070,5.47, NAMERICA
-109,65, phh2o ,1294,6.16905, NAMERICA
-109,65.5, phh2o ,1270,6.16905, NAMERICA
-109,66, phh2o ,1245,6.16905, NAMERICA
-109,66.5, phh2o ,1220,6.16905, NAMERICA
-109,67, phh2o ,1195,6.16905, NAMERICA
-109,69, phh2o ,1095,5.47, NAMERICA
-109,69.5, phh2o ,1070,5.47, NAMERICA
-108.5,65, phh2o ,1294,6.16905, NAMERICA
-108.5,65.5, phh2o ,1270,6.16905, NAMERICA
-108.5,66, phh2o ,1245,6.16905, NAMERICA
-108.5,66.5, phh2o ,1220,6.16905, NAMERICA
-108.5,67, phh2o ,1195,6.16905, NAMERICA
-108.5,68, phh2o ,1146,5.47, NAMERICA
-108.5,69, phh2o ,1095,5.47, NAMERICA
-108.5,69.5, phh2o ,1070,5.47, NAMERICA
-108,65, phh2o ,1294,6.16905, NAMERICA
-108,65.5, phh2o ,1270,6.16905, NAMERICA
-108,66, phh2o ,1245,6.16905, NAMERICA
-108,66.5, phh2o ,1220,6.16905, NAMERICA
-108,67, phh2o ,1195,6.16905, NAMERICA
-108,67.5, phh2o ,1171,5.47, NAMERICA
-108,68, phh2o ,1146,5.47, NAMERICA
-108,69, phh2o ,1095,5.47, NAMERICA
-108,69.5, phh2o ,1070,5.47, NAMERICA
-107.5,65, phh2o ,1294,6.16905, NAMERICA
-107.5,65.5, phh2o ,1270,6.16905, NAMERICA
-107.5,66, phh2o ,1245,6.16905, NAMERICA
-107.5,66.5, phh2o ,1220,6.16905, NAMERICA
-107.5,67, phh2o ,1195,6.16905, NAMERICA
-107.5,67.5, phh2o ,1171,5.47, NAMERICA
-107.5,68, phh2o ,1146,5.47, NAMERICA
-107.5,68.5, phh2o ,1120,5.47, NAMERICA
-107.5,69, phh2o ,1095,5.47, NAMERICA
-107.5,69.5, phh2o ,1070,5.47, NAMERICA
-107,65, phh2o ,1294,6.16905, NAMERICA
-107,65.5, phh2o ,1270,6.16905, NAMERICA
-107,66, phh2o ,1245,6.16905, NAMERICA
-107,66.5, phh2o ,1220,6.16905, NAMERICA
-107,67, phh2o ,1195,6.16905, NAMERICA
-107,67.5, phh2o ,1171,5.68695, NAMERICA
-107,68, phh2o ,1146,5.47, NAMERICA
-107,68.5, phh2o ,1120,5.47, NAMERICA
-107,69.5, phh2o ,1070,5.47, NAMERICA
-106.5,65, phh2o ,1294,6.16905, NAMERICA
-106.5,65.5, phh2o ,1270,6.16905, NAMERICA
-106.5,66, phh2o ,1245,6.16905, NAMERICA
-106.5,66.5, phh2o ,1220,6.16905, NAMERICA
-106.5,67, phh2o ,1195,6.16905, NAMERICA
-106.5,67.5, phh2o ,1171,5.99429, NAMERICA
-106.5,68, phh2o ,1146,5.47, NAMERICA
-106.5,68.5, phh2o ,1120,5.47, NAMERICA
-106.5,69, phh2o ,1095,5.47, NAMERICA
-106.5,69.5, phh2o ,1070,5.47, NAMERICA
-106,65, phh2o ,1294,6.16905, NAMERICA
-106,65.5, phh2o ,1270,6.16905, NAMERICA
-106,66, phh2o ,1245,6.16905, NAMERICA
-106,66.5, phh2o ,1220,6.16905, NAMERICA
-106,67, phh2o ,1195,6.16905, NAMERICA
-106,67.5, phh2o ,1171,6.03462, NAMERICA
-106,68, phh2o ,1146,5.47, NAMERICA
-106,68.5, phh2o ,1120,5.47, NAMERICA
-106,69, phh2o ,1095,5.47, NAMERICA
-106,69.5, phh2o ,1070,5.47, NAMERICA
-105.5,65, phh2o ,1294,6.16905, NAMERICA
-105.5,65.5, phh2o ,1270,6.16905, NAMERICA
-105.5,66, phh2o ,1245,6.16905, NAMERICA
-105.5,66.5, phh2o ,1220,6.16905, NAMERICA
-105.5,67, phh2o ,1195,6.16905, NAMERICA
-105.5,67.5, phh2o ,1171,6.0112, NAMERICA
-105.5,68, phh2o ,1146,5.47, NAMERICA
-105.5,69, phh2o ,1095,5.47, NAMERICA
-105.5,69.5, phh2o ,1070,5.47, NAMERICA
-105,65, phh2o ,1294,6.16905, NAMERICA
-105,65.5, phh2o ,1270,6.16905, NAMERICA
-105,66, phh2o ,1245,6.16905, NAMERICA
-105,66.5, phh2o ,1220,6.16905, NAMERICA
-105,67, phh2o ,1195,6.16905, NAMERICA
-105,67.5, phh2o ,1171,6.08839, NAMERICA
-105,68, phh2o ,1146,5.53375, NAMERICA
-105,68.5, phh2o ,1120,5.47, NAMERICA
-105,69, phh2o ,1095,5.47, NAMERICA
-105,69.5, phh2o ,1070,5.47, NAMERICA
-104.5,65, phh2o ,1294,6.16905, NAMERICA
-104.5,65.5, phh2o ,1270,6.16905, NAMERICA
-104.5,66, phh2o ,1245,6.16905, NAMERICA
-104.5,66.5, phh2o ,1220,6.16905, NAMERICA
-104.5,67, phh2o ,1195,6.16905, NAMERICA
-104.5,67.5, phh2o ,1171,6.13304, NAMERICA
-104.5,69, phh2o ,1095,5.47, NAMERICA
-104.5,69.5, phh2o ,1070,5.47, NAMERICA
-104,65, phh2o ,1294,6.16905, NAMERICA
-104,65.5, phh2o ,1270,6.16905, NAMERICA
-104,66, phh2o ,1245,6.16905, NAMERICA
-104,66.5, phh2o ,1220,6.16905, NAMERICA
-104,67, phh2o ,1195,6.16905, NAMERICA
-104,67.5, phh2o ,1171,6.16905, NAMERICA
-104,69, phh2o ,1095,5.47, NAMERICA
-104,69.5, phh2o ,1070,5.47, NAMERICA
-103.5,65, phh2o ,1294,6.16905, NAMERICA
-103.5,65.5, phh2o ,1270,6.16905, NAMERICA
-103.5,66, phh2o ,1245,6.16905, NAMERICA
-103.5,66.5, phh2o ,1220,6.16905, NAMERICA
-103.5,67, phh2o ,1195,6.16905, NAMERICA
-103.5,67.5, phh2o ,1171,5.47, NAMERICA
-103.5,69, phh2o ,1095,5.47, NAMERICA
-103.5,69.5, phh2o ,1070,5.47, NAMERICA
-103,65, phh2o ,1294,6.16905, NAMERICA
-103,65.5, phh2o ,1270,6.16905, NAMERICA
-103,66, phh2o ,1245,6.16905, NAMERICA
-103,66.5, phh2o ,1220,6.16905, NAMERICA
-103,67, phh2o ,1195,6.16905, NAMERICA
-103,67.5, phh2o ,1171,6.16905, NAMERICA
-103,69, phh2o ,1095,5.47, NAMERICA
-103,69.5, phh2o ,1070,5.47, NAMERICA
-102.5,65, phh2o ,1294,6.16905, NAMERICA
-102.5,65.5, phh2o ,1270,6.16905, NAMERICA
-102.5,66, phh2o ,1245,6.16905, NAMERICA
-102.5,66.5, phh2o ,1220,6.16905, NAMERICA
-102.5,67, phh2o ,1195,6.16905, NAMERICA
-102.5,67.5, phh2o ,1171,5.47, NAMERICA
-102.5,69, phh2o ,1095,5.47, NAMERICA
-102,65, phh2o ,1294,6.16905, NAMERICA
-102,65.5, phh2o ,1270,6.16905, NAMERICA
-102,66, phh2o ,1245,6.16905, NAMERICA
-102,66.5, phh2o ,1220,6.16905, NAMERICA
-102,67, phh2o ,1195,6.16905, NAMERICA
-102,67.5, phh2o ,1171,5.47, NAMERICA
-102,69.5, phh2o ,1070,5.47, NAMERICA
-101.5,65, phh2o ,1294,6.16905, NAMERICA
-101.5,65.5, phh2o ,1270,6.16905, NAMERICA
-101.5,66, phh2o ,1245,6.16905, NAMERICA
-101.5,66.5, phh2o ,1220,6.16905, NAMERICA
-101.5,67, phh2o ,1195,6.16905, NAMERICA
-101.5,67.5, phh2o ,1171,5.47, NAMERICA
-101.5,69.5, phh2o ,1070,5.47, NAMERICA
-101,65, phh2o ,1294,6.16905, NAMERICA
-101,65.5, phh2o ,1270,6.16905, NAMERICA
-101,66, phh2o ,1245,6.16905, NAMERICA
-101,66.5, phh2o ,1220,6.16905, NAMERICA
-101,67, phh2o ,1195,6.16905, NAMERICA
-101,67.5, phh2o ,1171,5.47, NAMERICA
-100.5,65, phh2o ,1294,6.16905, NAMERICA
-100.5,65.5, phh2o ,1270,6.16905, NAMERICA
-100.5,66, phh2o ,1245,6.16905, NAMERICA
-100.5,66.5, phh2o ,1220,6.16905, NAMERICA
-100.5,67, phh2o ,1195,6.16905, NAMERICA
-100.5,67.5, phh2o ,1171,5.47, NAMERICA
-100,65, phh2o ,1294,6.16905, NAMERICA
-100,65.5, phh2o ,1270,6.16905, NAMERICA
-100,66, phh2o ,1245,6.16905, NAMERICA
-100,66.5, phh2o ,1220,6.14963, NAMERICA
-100,67, phh2o ,1195,5.47, NAMERICA
-100,67.5, phh2o ,1171,5.47, NAMERICA
-99.5,65, phh2o ,1294,6.16905, NAMERICA
-99.5,65.5, phh2o ,1270,6.16905, NAMERICA
-99.5,66, phh2o ,1245,6.16905, NAMERICA
-99.5,66.5, phh2o ,1220,6.05254, NAMERICA
-99.5,67, phh2o ,1195,5.47, NAMERICA
-99.5,67.5, phh2o ,1171,5.47, NAMERICA
-99,65, phh2o ,1294,6.16905, NAMERICA
-99,65.5, phh2o ,1270,6.16905, NAMERICA
-99,66, phh2o ,1245,6.16905, NAMERICA
-99,66.5, phh2o ,1220,6.05254, NAMERICA
-99,67, phh2o ,1195,5.47, NAMERICA
-99,67.5, phh2o ,1171,5.47, NAMERICA
-99,69, phh2o ,1095,5.47, NAMERICA
-98.5,65, phh2o ,1294,6.16905, NAMERICA
-98.5,65.5, phh2o ,1270,6.16905, NAMERICA
-98.5,66, phh2o ,1245,6.16905, NAMERICA
-98.5,66.5, phh2o ,1220,5.93603, NAMERICA
-98.5,67, phh2o ,1195,5.47, NAMERICA
-98.5,67.5, phh2o ,1171,5.47, NAMERICA
-98.5,68, phh2o ,1146,5.47, NAMERICA
-98.5,68.5, phh2o ,1120,5.47, NAMERICA
-98.5,69, phh2o ,1095,5.47, NAMERICA
-98.5,69.5, phh2o ,1070,5.47, NAMERICA
-98,65, phh2o ,1294,6.16905, NAMERICA
-98,65.5, phh2o ,1270,6.16905, NAMERICA
-98,66, phh2o ,1245,6.16905, NAMERICA
-98,66.5, phh2o ,1220,5.85836, NAMERICA
-98,67, phh2o ,1195,5.47, NAMERICA
-98,67.5, phh2o ,1171,5.47, NAMERICA
-98,68, phh2o ,1146,5.47, NAMERICA
-98,68.5, phh2o ,1120,5.47, NAMERICA
-98,69, phh2o ,1095,5.47, NAMERICA
-98,69.5, phh2o ,1070,5.47, NAMERICA
-97.5,65, phh2o ,1294,6.16905, NAMERICA
-97.5,65.5, phh2o ,1270,6.16905, NAMERICA
-97.5,66, phh2o ,1245,6.16905, NAMERICA
-97.5,66.5, phh2o ,1220,5.81953, NAMERICA
-97.5,67, phh2o ,1195,5.47, NAMERICA
-97.5,67.5, phh2o ,1171,5.47, NAMERICA
-97.5,68, phh2o ,1146,5.47, NAMERICA
-97.5,68.5, phh2o ,1120,5.47, NAMERICA
-97.5,69, phh2o ,1095,5.47, NAMERICA
-97,65, phh2o ,1294,6.16905, NAMERICA
-97,65.5, phh2o ,1270,6.16905, NAMERICA
-97,66, phh2o ,1245,6.16905, NAMERICA
-97,66.5, phh2o ,1220,5.90018, NAMERICA
-97,67, phh2o ,1195,5.47, NAMERICA
-97,67.5, phh2o ,1171,5.47, NAMERICA
-97,68, phh2o ,1146,5.47, NAMERICA
-97,68.5, phh2o ,1120,5.47, NAMERICA
-97,69, phh2o ,1095,5.47, NAMERICA
-96.5,65, phh2o ,1294,6.16905, NAMERICA
-96.5,65.5, phh2o ,1270,6.16905, NAMERICA
-96.5,66, phh2o ,1245,6.16905, NAMERICA
-96.5,66.5, phh2o ,1220,6.0615, NAMERICA
-96.5,67, phh2o ,1195,5.64476, NAMERICA
-96.5,67.5, phh2o ,1171,5.47, NAMERICA
-96.5,68.5, phh2o ,1120,5.47, NAMERICA
-96.5,69, phh2o ,1095,5.47, NAMERICA
-96,65, phh2o ,1294,6.16905, NAMERICA
-96,65.5, phh2o ,1270,6.16905, NAMERICA
-96,66, phh2o ,1245,6.16905, NAMERICA
-96,66.5, phh2o ,1220,6.16905, NAMERICA
-96,67, phh2o ,1195,6.16905, NAMERICA
-96,68.5, phh2o ,1120,5.47, NAMERICA
-96,69.5, phh2o ,1070,5.47, NAMERICA
-95.5,65, phh2o ,1294,6.16905, NAMERICA
-95.5,65.5, phh2o ,1270,6.16905, NAMERICA
-95.5,66, phh2o ,1245,6.16905, NAMERICA
-95.5,66.5, phh2o ,1220,6.16905, NAMERICA
-95.5,67, phh2o ,1195,6.16905, NAMERICA
-95.5,67.5, phh2o ,1171,6.16905, NAMERICA
-95.5,69.5, phh2o ,1070,5.93603, NAMERICA
-95,65, phh2o ,1294,6.16905, NAMERICA
-95,65.5, phh2o ,1270,6.16905, NAMERICA
-95,66, phh2o ,1245,6.16905, NAMERICA
-95,66.5, phh2o ,1220,6.16905, NAMERICA
-95,67, phh2o ,1195,6.16905, NAMERICA
-95,67.5, phh2o ,1171,6.16905, NAMERICA
-95,69.5, phh2o ,1070,6.16905, NAMERICA
-94.5,65, phh2o ,1294,6.16905, NAMERICA
-94.5,65.5, phh2o ,1270,6.16905, NAMERICA
-94.5,66, phh2o ,1245,6.16905, NAMERICA
-94.5,66.5, phh2o ,1220,6.16905, NAMERICA
-94.5,67, phh2o ,1195,6.16905, NAMERICA
-94.5,67.5, phh2o ,1171,6.02924, NAMERICA
-94.5,68, phh2o ,1146,5.47, NAMERICA
-94.5,68.5, phh2o ,1120,5.47, NAMERICA
-94.5,69, phh2o ,1095,6.12668, NAMERICA
-94.5,69.5, phh2o ,1070,6.16905, NAMERICA
-94,65, phh2o ,1294,6.16905, NAMERICA
-94,65.5, phh2o ,1270,6.16905, NAMERICA
-94,66, phh2o ,1245,6.16905, NAMERICA
-94,66.5, phh2o ,1220,6.16905, NAMERICA
-94,67, phh2o ,1195,6.16905, NAMERICA
-94,67.5, phh2o ,1171,5.93603, NAMERICA
-94,68, phh2o ,1146,5.47, NAMERICA
-94,69, phh2o ,1095,6.16905, NAMERICA
-94,69.5, phh2o ,1070,6.16905, NAMERICA
-93.5,65, phh2o ,1294,6.16905, NAMERICA
-93.5,65.5, phh2o ,1270,6.16905, NAMERICA
-93.5,66, phh2o ,1245,6.16905, NAMERICA
-93.5,66.5, phh2o ,1220,6.16905, NAMERICA
-93.5,67, phh2o ,1195,6.16905, NAMERICA
-93.5,67.5, phh2o ,1171,5.97487, NAMERICA
-93.5,68, phh2o ,1146,5.47, NAMERICA
-93.5,68.5, phh2o ,1120,5.58275, NAMERICA
-93.5,69, phh2o ,1095,6.16905, NAMERICA
-93.5,69.5, phh2o ,1070,6.16905, NAMERICA
-93,65, phh2o ,1294,6.16905, NAMERICA
-93,65.5, phh2o ,1270,6.16905, NAMERICA
-93,66, phh2o ,1245,6.16905, NAMERICA
-93,66.5, phh2o ,1220,6.16905, NAMERICA
-93,67, phh2o ,1195,6.16905, NAMERICA
-93,67.5, phh2o ,1171,6.13021, NAMERICA
-93,68, phh2o ,1146,5.58651, NAMERICA
-93,68.5, phh2o ,1120,5.94289, NAMERICA
-93,69, phh2o ,1095,6.16905, NAMERICA
-93,69.5, phh2o ,1070,6.16905, NAMERICA
-92.5,65, phh2o ,1294,6.16905, NAMERICA
-92.5,65.5, phh2o ,1270,6.16905, NAMERICA
-92.5,66, phh2o ,1245,6.16905, NAMERICA
-92.5,66.5, phh2o ,1220,6.16905, NAMERICA
-92.5,67, phh2o ,1195,6.16905, NAMERICA
-92.5,67.5, phh2o ,1171,6.16905, NAMERICA
-92.5,68, phh2o ,1146,6.16905, NAMERICA
-92.5,68.5, phh2o ,1120,6.16905, NAMERICA
-92.5,69, phh2o ,1095,6.16905, NAMERICA
-92.5,69.5, phh2o ,1070,6.16905, NAMERICA
-92,65, phh2o ,1294,6.16905, NAMERICA
-92,65.5, phh2o ,1270,6.16905, NAMERICA
-92,66, phh2o ,1245,6.16905, NAMERICA
-92,66.5, phh2o ,1220,6.16905, NAMERICA
-92,67, phh2o ,1195,6.16905, NAMERICA
-92,67.5, phh2o ,1171,6.16905, NAMERICA
-92,68, phh2o ,1146,6.16905, NAMERICA
-92,68.5, phh2o ,1120,6.16905, NAMERICA
-92,69, phh2o ,1095,6.16905, NAMERICA
-91.5,65, phh2o ,1294,6.16905, NAMERICA
-91.5,65.5, phh2o ,1270,6.16905, NAMERICA
-91.5,66, phh2o ,1245,6.16905, NAMERICA
-91.5,66.5, phh2o ,1220,6.16905, NAMERICA
-91.5,67, phh2o ,1195,6.16905, NAMERICA
-91.5,67.5, phh2o ,1171,6.16905, NAMERICA
-91.5,68, phh2o ,1146,6.16905, NAMERICA
-91.5,68.5, phh2o ,1120,6.16905, NAMERICA
-91.5,69, phh2o ,1095,6.16905, NAMERICA
-91,65, phh2o ,1294,6.16905, NAMERICA
-91,65.5, phh2o ,1270,6.16905, NAMERICA
-91,66, phh2o ,1245,6.16905, NAMERICA
-91,66.5, phh2o ,1220,6.16905, NAMERICA
-91,67, phh2o ,1195,6.16905, NAMERICA
-91,67.5, phh2o ,1171,6.16905, NAMERICA
-91,68, phh2o ,1146,6.16905, NAMERICA
-91,68.5, phh2o ,1120,6.16905, NAMERICA
-91,69, phh2o ,1095,6.16905, NAMERICA
-90.5,65, phh2o ,1294,6.16905, NAMERICA
-90.5,65.5, phh2o ,1270,6.16905, NAMERICA
-90.5,66, phh2o ,1245,6.16905, NAMERICA
-90.5,66.5, phh2o ,1220,6.16905, NAMERICA
-90.5,67, phh2o ,1195,6.16905, NAMERICA
-90.5,67.5, phh2o ,1171,6.16905, NAMERICA
-90.5,68, phh2o ,1146,6.16905, NAMERICA
-90,65, phh2o ,1294,6.16905, NAMERICA
-90,65.5, phh2o ,1270,6.16905, NAMERICA
-90,66, phh2o ,1245,6.16905, NAMERICA
-90,66.5, phh2o ,1220,6.16905, NAMERICA
-90,67, phh2o ,1195,6.16905, NAMERICA
-90,67.5, phh2o ,1171,6.19924, NAMERICA
-90,68, phh2o ,1146,6.32, NAMERICA
-90,68.5, phh2o ,1120,6.32, NAMERICA
-89.5,65, phh2o ,1294,6.16905, NAMERICA
-89.5,65.5, phh2o ,1270,6.16905, NAMERICA
-89.5,66, phh2o ,1245,6.16905, NAMERICA
-89.5,66.5, phh2o ,1220,6.16905, NAMERICA
-89.5,67, phh2o ,1195,6.16905, NAMERICA
-89.5,67.5, phh2o ,1171,6.25868, NAMERICA
-89.5,68, phh2o ,1146,6.32, NAMERICA
-89.5,68.5, phh2o ,1120,6.32, NAMERICA
-89.5,69, phh2o ,1095,6.32, NAMERICA
-89,65, phh2o ,1294,6.16905, NAMERICA
-89,65.5, phh2o ,1270,6.16905, NAMERICA
-89,66, phh2o ,1245,6.16905, NAMERICA
-89,66.5, phh2o ,1220,6.16905, NAMERICA
-89,67, phh2o ,1195,6.16905, NAMERICA
-89,67.5, phh2o ,1171,6.31161, NAMERICA
-89,68, phh2o ,1146,6.32, NAMERICA
-89,68.5, phh2o ,1120,6.32, NAMERICA
-88.5,65, phh2o ,1294,6.16905, NAMERICA
-88.5,65.5, phh2o ,1270,6.16905, NAMERICA
-88.5,66, phh2o ,1245,6.16905, NAMERICA
-88.5,66.5, phh2o ,1220,6.16905, NAMERICA
-88.5,67, phh2o ,1195,6.17911, NAMERICA
-88.5,67.5, phh2o ,1171,6.32, NAMERICA
-88.5,68, phh2o ,1146,6.32, NAMERICA
-88.5,68.5, phh2o ,1120,6.32, NAMERICA
-88,65, phh2o ,1294,6.16905, NAMERICA
-88,65.5, phh2o ,1270,6.16905, NAMERICA
-88,66, phh2o ,1245,6.16905, NAMERICA
-88,66.5, phh2o ,1220,6.16905, NAMERICA
-88,67, phh2o ,1195,6.16905, NAMERICA
-87.5,65, phh2o ,1294,6.16905, NAMERICA
-87.5,65.5, phh2o ,1270,6.16905, NAMERICA
-87.5,66, phh2o ,1245,6.16905, NAMERICA
-87.5,66.5, phh2o ,1220,6.16905, NAMERICA
-87.5,67, phh2o ,1195,6.16905, NAMERICA
-87,65.5, phh2o ,1270,6.16905, NAMERICA
-87,66, phh2o ,1245,6.16905, NAMERICA
-87,66.5, phh2o ,1220,6.16905, NAMERICA
-87,67, phh2o ,1195,6.16613, NAMERICA
-87,67.5, phh2o ,1171,6.16905, NAMERICA
-87,68, phh2o ,1146,6.32, NAMERICA
-86.5,66, phh2o ,1245,6.16905, NAMERICA
-86.5,66.5, phh2o ,1220,6.16905, NAMERICA
-86.5,67, phh2o ,1195,6.16905, NAMERICA
-86.5,67.5, phh2o ,1171,6.16905, NAMERICA
-86,65, phh2o ,1294,5.98, NAMERICA
-86,65.5, phh2o ,1270,6.16905, NAMERICA
-86,66.5, phh2o ,1220,6.16905, NAMERICA
-86,67, phh2o ,1195,6.16905, NAMERICA
-86,67.5, phh2o ,1171,6.16905, NAMERICA
-86,68, phh2o ,1146,6.16905, NAMERICA
-85.5,65, phh2o ,1294,6.01437, NAMERICA
-85.5,65.5, phh2o ,1270,6.16905, NAMERICA
-85.5,66.5, phh2o ,1220,6.16905, NAMERICA
-85.5,67, phh2o ,1195,6.16905, NAMERICA
-85.5,67.5, phh2o ,1171,6.16905, NAMERICA
-85.5,68, phh2o ,1146,6.16905, NAMERICA
-85.5,68.5, phh2o ,1120,6.16905, NAMERICA
-85.5,69, phh2o ,1095,6.16905, NAMERICA
-85.5,69.5, phh2o ,1070,6.16905, NAMERICA
-85,65, phh2o ,1294,6.16905, NAMERICA
-85,65.5, phh2o ,1270,6.16905, NAMERICA
-85,66, phh2o ,1245,6.16905, NAMERICA
-85,66.5, phh2o ,1220,6.16905, NAMERICA
-85,67, phh2o ,1195,6.16905, NAMERICA
-85,67.5, phh2o ,1171,6.16905, NAMERICA
-85,68, phh2o ,1146,6.16905, NAMERICA
-85,68.5, phh2o ,1120,6.16905, NAMERICA
-85,69, phh2o ,1095,6.16905, NAMERICA
-85,69.5, phh2o ,1070,6.16905, NAMERICA
-84.5,65, phh2o ,1294,6.16905, NAMERICA
-84.5,66, phh2o ,1245,6.16905, NAMERICA
-84.5,66.5, phh2o ,1220,6.16905, NAMERICA
-84.5,67, phh2o ,1195,6.16905, NAMERICA
-84.5,67.5, phh2o ,1171,6.16905, NAMERICA
-84.5,68, phh2o ,1146,6.16905, NAMERICA
-84.5,68.5, phh2o ,1120,6.16905, NAMERICA
-84.5,69, phh2o ,1095,6.16905, NAMERICA
-84.5,69.5, phh2o ,1070,6.16905, NAMERICA
-84,65.5, phh2o ,1270,6.16905, NAMERICA
-84,66.5, phh2o ,1220,6.16905, NAMERICA
-84,67, phh2o ,1195,6.16905, NAMERICA
-84,67.5, phh2o ,1171,6.1533, NAMERICA
-84,68, phh2o ,1146,6.16905, NAMERICA
-84,68.5, phh2o ,1120,6.16905, NAMERICA
-84,69, phh2o ,1095,6.16905, NAMERICA
-84,69.5, phh2o ,1070,6.16905, NAMERICA
-83.5,66.5, phh2o ,1220,6.16905, NAMERICA
-83.5,67, phh2o ,1195,6.1533, NAMERICA
-83.5,67.5, phh2o ,1171,5.9905, NAMERICA
-83.5,68, phh2o ,1146,5.98525, NAMERICA
-83.5,68.5, phh2o ,1120,6.11416, NAMERICA
-83.5,69, phh2o ,1095,6.16905, NAMERICA
-83.5,69.5, phh2o ,1070,6.16905, NAMERICA
-83,66.5, phh2o ,1220,6.16905, NAMERICA
-83,67, phh2o ,1195,6.10078, NAMERICA
-83,67.5, phh2o ,1171,5.98, NAMERICA
-83,68, phh2o ,1146,5.98, NAMERICA
-83,68.5, phh2o ,1120,5.994, NAMERICA
-83,69, phh2o ,1095,6.16905, NAMERICA
-83,69.5, phh2o ,1070,6.16905, NAMERICA
-82.5,66.5, phh2o ,1220,6.16905, NAMERICA
-82.5,67, phh2o ,1195,6.13468, NAMERICA
-82.5,67.5, phh2o ,1171,5.98, NAMERICA
-82.5,68, phh2o ,1146,5.98, NAMERICA
-82.5,68.5, phh2o ,1120,5.98, NAMERICA
-82.5,69, phh2o ,1095,6.16905, NAMERICA
-82.5,69.5, phh2o ,1070,6.16905, NAMERICA
-82,67, phh2o ,1195,6.16905, NAMERICA
-82,67.5, phh2o ,1171,5.98, NAMERICA
-82,68.5, phh2o ,1120,5.98, NAMERICA
-82,69, phh2o ,1095,6.16905, NAMERICA
-80,69.5, phh2o ,1070,6.02363, NAMERICA
-79,69, phh2o ,1095,5.98, NAMERICA
-77.5,65, phh2o ,1294,5.98, NAMERICA
-77.5,67.5, phh2o ,1171,5.98, NAMERICA
-77.5,69, phh2o ,1095,6.16905, NAMERICA
-77,65, phh2o ,1294,5.98, NAMERICA
-77,67, phh2o ,1195,5.98, NAMERICA
-77,67.5, phh2o ,1171,5.98, NAMERICA
-77,69.5, phh2o ,1070,6.16905, NAMERICA
-76.5,65, phh2o ,1294,5.98, NAMERICA
-76.5,67, phh2o ,1195,5.98, NAMERICA
-76.5,67.5, phh2o ,1171,5.98, NAMERICA
-76.5,68, phh2o ,1146,5.98, NAMERICA
-76.5,68.5, phh2o ,1120,6.13124, NAMERICA
-76.5,69.5, phh2o ,1070,6.16905, NAMERICA
-76,65, phh2o ,1294,5.98, NAMERICA
-76,67, phh2o ,1195,5.98, NAMERICA
-76,67.5, phh2o ,1171,5.98, NAMERICA
-76,68, phh2o ,1146,5.98, NAMERICA
-76,69, phh2o ,1095,6.16905, NAMERICA
-76,69.5, phh2o ,1070,6.16905, NAMERICA
-75.5,65, phh2o ,1294,5.98, NAMERICA
-75.5,67.5, phh2o ,1171,5.98, NAMERICA
-75.5,68, phh2o ,1146,5.98, NAMERICA
-75.5,68.5, phh2o ,1120,6.14466, NAMERICA
-75.5,69, phh2o ,1095,6.16905, NAMERICA
-75.5,69.5, phh2o ,1070,6.16905, NAMERICA
-75,65, phh2o ,1294,6.16905, NAMERICA
-75,68.5, phh2o ,1120,6.16905, NAMERICA
-75,69, phh2o ,1095,6.16905, NAMERICA
-75,69.5, phh2o ,1070,6.16905, NAMERICA
-74.5,65, phh2o ,1294,6.04302, NAMERICA
-74.5,66, phh2o ,1245,6.16905, NAMERICA
-74.5,67.5, phh2o ,1171,6.16905, NAMERICA
-74.5,68, phh2o ,1146,6.16905, NAMERICA
-74.5,68.5, phh2o ,1120,6.16905, NAMERICA
-74.5,69, phh2o ,1095,6.16905, NAMERICA
-74.5,69.5, phh2o ,1070,6.16905, NAMERICA
-74,65, phh2o ,1294,5.98, NAMERICA
-74,65.5, phh2o ,1270,5.98, NAMERICA
-74,66, phh2o ,1245,6.16905, NAMERICA
-74,67.5, phh2o ,1171,6.16905, NAMERICA
-74,68.5, phh2o ,1120,6.16905, NAMERICA
-74,69, phh2o ,1095,6.16905, NAMERICA
-74,69.5, phh2o ,1070,6.16905, NAMERICA
-73.5,65, phh2o ,1294,5.98, NAMERICA
-73.5,65.5, phh2o ,1270,5.98, NAMERICA
-73.5,66, phh2o ,1245,5.98, NAMERICA
-73.5,68, phh2o ,1146,6.16905, NAMERICA
-73.5,68.5, phh2o ,1120,6.16905, NAMERICA
-73.5,69, phh2o ,1095,6.16905, NAMERICA
-73.5,69.5, phh2o ,1070,6.16905, NAMERICA
-73,65, phh2o ,1294,5.98, NAMERICA
